Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,IDComunidadAutonoma
A Coruña,2320.0,"+ 0,3 %","+ 0,6 %","+ 5,9 %",2.895 €/m2 ago 2008,"- 19,9 %",13
Lugo provincia,1010.0,"+ 0,1 %","+ 0,6 %","+ 3,6 %",1.616 €/m2 mayo 2011,"- 37,5 %",13
Lugo,1238.0,"+ 0,4 %","+ 0,7 %","+ 1,4 %",1.918 €/m2 jun 2011,"- 35,5 %",13
Ourense provincia,1146.0,"- 0,2 %","- 1,4 %","+ 0,3 %",1.531 €/m2 nov 2011,"- 25,1 %",13
Ourense,1448.0,"+ 0,2 %","0,0 %","+ 2,2 %",1.914 €/m2 nov 2011,"- 24,4 %",13
Pontevedra provincia,1596.0,"- 0,2 %","- 0,4 %","+ 1,5 %",1.935 €/m2 jun 2007,"- 17,5 %",13
Pontevedra,1869.0,"+ 2,1 %","+ 1,6 %","+ 8,9 %",1.869 €/m2 jul 2023,"0,0 %",13
La Rioja,1274.0,"+ 0,5 %","- 0,1 %","+ 1,3 %",1.652 €/m2 ene 2008,"- 22,9 %",13
La Rioja,1274.0,"+ 0,5 %","- 0,1 %","+ 1,3 %",1.652 €/m2 ene 2008,"- 22,9 %",17
Logroño,1629.0,"+ 0,1 %","+ 1,4 %","+ 2,7 %",1.993 €/m2 abr 2011,"- 18,3 %",17
Madrid Comunidad,3143.0,"0,0 %","+ 0,3 %","+ 3,7 %",3.143 €/m2 jul 2023,"0,0 %",17
Madrid provincia,3143.0,"0,0 %","+ 0,3 %","+ 3,7 %",3.143 €/m2 jul 2023,"0,0 %",9
Madrid,4002.0,"- 0,3 %","+ 0,6 %","+ 3,9 %",4.015 €/m2 jun 2023,"- 0,3 %",9
Melilla,1908.0,"+ 0,9 %","+ 2,5 %","+ 0,3 %",1.912 €/m2 mayo 2022,"- 0,2 %",9
Melilla provincia,1908.0,"+ 0,9 %","+ 2,5 %","+ 0,3 %",1.912 €/m2 mayo 2022,"- 0,2 %",19
Melilla,1908.0,"+ 0,9 %","+ 2,5 %","+ 0,3 %",1.912 €/m2 mayo 2022,"- 0,2 %",19
Murcia Región,1159.0,"- 0,2 %","+ 1,7 %","+ 6,8 %",1.786 €/m2 sep 2006,"- 35,1 %",19
Murcia provincia,1159.0,"- 0,2 %","+ 1,7 %","+ 6,8 %",1.786 €/m2 sep 2006,"- 35,1 %",16
Murcia,1192.0,"- 0,7 %","+ 1,0 %","+ 9,0 %",1.757 €/m2 sep 2007,"- 32,2 %",16
Navarra,1659.0,"- 0,5 %","+ 2,9 %","+ 8,4 %",1.870 €/m2 oct 2007,"- 11,3 %",16
Navarra,1659.0,"- 0,5 %","+ 2,9 %","+ 8,4 %",1.870 €/m2 oct 2007,"- 11,3 %",10
Pamplona/Iruña,2662.0,"- 1,1 %","+ 3,6 %","+ 2,8 %",2.691 €/m2 jun 2023,"- 1,1 %",10
